id,city_id,"name"
899,35,"ÇİĞLİ"
900,75,"DAMAL"
901,35,"GAZİEMİR"
902,34,"GÜNGÖREN"
903,76,"KARAKOYUNLU"
904,34,"MALTEPE"
905,35,"NARLIDERE"
906,34,"SULTANBEYLİ"
907,34,"TUZLA"
908,34,"ESENLER"
909,81,"GÜMÜŞOVA"
910,35,"GÜZELBAHÇE"
911,77,"ALTINOVA"
912,77,"ARMUTLU"
913,77,"ÇINARCIK"
914,77,"ÇİFTLİKKÖY"
915,79,"ELBEYLİ"
916,79,"MUSABEYLİ"
917,79,"POLATELİ"
918,77,"TERMAL"
919,80,"HASANBEYLİ"
920,80,"SUMBAS"
921,80,"TOPRAKKALE"
922,41,"DERİNCE"
923,81,"KAYNAŞLI"
941,7,"KEPEZ"
942,7,"KONYAALTI"
943,7,"MURATPAŞA"
944,21,"BAĞLAR"
945,21,"KAYAPINAR"
946,21,"SUR"
961,35,"KARABAĞLAR"
962,35,"BAYRAKLI"
963,34,"ARNAVUTKÖY"
964,34,"ATAŞEHİR"
965,34,"BAŞAKŞEHİR"
966,34,"BEYLİKDÜZÜ"
967,34,"ÇEKMEKÖY"
968,34,"ESENYURT"
969,34,"SANCAKTEPE"
970,34,"SULTANGAZİ"
981,1,"SARIÇAM"
982,1,"ÇUKUROVA"
983,6,"PURSAKLAR"
984,7,"AKSU"
985,7,"DÖŞEMEALTI"
986,21,"YENİŞEHİR"
987,25,"PALANDÖKEN"
988,25,"YAKUTİYE"
989,26,"ODUNPAZARI"
990,26,"TEPEBAŞI"
991,33,"AKDENİZ"
992,33,"MEZİTLİ"
993,33,"TOROSLAR"
994,33,"YENİŞEHİR"
995,41,"BAŞİSKELE"
996,41,"ÇAYIROVA"
997,41,"DARICA"
998,41,"DİLOVASI"
999,41,"İZMİT"
1000,41,"KARTEPE"
1001,55,"ATAKUM"
1002,55,"CANİK"
1003,55,"İLKADIM"
1004,54,"ADAPAZARI"
1005,54,"ARİFİYE"
1006,54,"ERENLER"
1007,54,"SERDİVAN"
